market,as_of,cftc_contract_market_code,cftc_market_code,open_interest_all,mm_long_all,mm_short_all,source_year
GOLD - COMMODITY EXCHANGE INC.,2018-02-13,088691,CMX ,511745,186183,16426,2018
GOLD - COMMODITY EXCHANGE INC.,2018-02-20,088691,CMX ,528154,190398,14943,2018
GOLD - COMMODITY EXCHANGE INC.,2018-02-27,088691,CMX ,532860,177475,27456,2018
GOLD - COMMODITY EXCHANGE INC.,2018-03-06,088691,CMX ,508100,172492,21786,2018
GOLD - COMMODITY EXCHANGE INC.,2018-03-13,088691,CMX ,526762,162337,26472,2018
GOLD - COMMODITY EXCHANGE INC.,2018-03-20,088691,CMX ,545499,148152,36345,2018
GOLD - COMMODITY EXCHANGE INC.,2018-03-27,088691,CMX ,529690,183080,20917,2018
GOLD - COMMODITY EXCHANGE INC.,2018-04-03,088691,CMX ,493141,155590,28948,2018
GOLD - COMMODITY EXCHANGE INC.,2018-04-10,088691,CMX ,499588,154044,28482,2018
GOLD - COMMODITY EXCHANGE INC.,2018-04-17,088691,CMX ,510229,157925,25287,2018
GOLD - COMMODITY EXCHANGE INC.,2018-04-24,088691,CMX ,506410,143258,43597,2018
GOLD - COMMODITY EXCHANGE INC.,2018-05-01,088691,CMX ,507756,119064,79747,2018
GOLD - COMMODITY EXCHANGE INC.,2018-05-08,088691,CMX ,491398,109508,67869,2018
GOLD - COMMODITY EXCHANGE INC.,2018-05-15,088691,CMX ,519958,103256,84258,2018
GOLD - COMMODITY EXCHANGE INC.,2018-05-22,088691,CMX ,502942,91411,74880,2018
GOLD - COMMODITY EXCHANGE INC.,2018-05-29,088691,CMX ,469382,107882,53881,2018
GOLD - COMMODITY EXCHANGE INC.,2018-06-05,088691,CMX ,450641,100027,49147,2018
GOLD - COMMODITY EXCHANGE INC.,2018-06-12,088691,CMX ,448695,104313,48809,2018
GOLD - COMMODITY EXCHANGE INC.,2018-06-19,088691,CMX ,468345,94297,83769,2018
GOLD - COMMODITY EXCHANGE INC.,2018-06-26,088691,CMX ,468573,94845,94869,2018
GOLD - COMMODITY EXCHANGE INC.,2018-07-03,088691,CMX ,494164,104275,105529,2018
GOLD - COMMODITY EXCHANGE INC.,2018-07-10,088691,CMX ,503593,107402,109929,2018
GOLD - COMMODITY EXCHANGE INC.,2018-07-17,088691,CMX ,528278,107775,134224,2018
GOLD - COMMODITY EXCHANGE INC.,2018-07-24,088691,CMX ,496620,110249,146671,2018
GOLD - COMMODITY EXCHANGE INC.,2018-07-31,088691,CMX ,452655,110580,153108,2018
GOLD - COMMODITY EXCHANGE INC.,2018-08-07,088691,CMX ,459474,105849,171965,2018
GOLD - COMMODITY EXCHANGE INC.,2018-08-14,088691,CMX ,476739,104803,188127,2018
GOLD - COMMODITY EXCHANGE INC.,2018-08-21,088691,CMX ,483730,107143,197171,2018
GOLD - COMMODITY EXCHANGE INC.,2018-08-28,088691,CMX ,479283,105971,181743,2018
GOLD - COMMODITY EXCHANGE INC.,2018-09-04,088691,CMX ,473118,101651,184373,2018
GOLD - COMMODITY EXCHANGE INC.,2018-09-11,088691,CMX ,469450,100593,175812,2018
GOLD - COMMODITY EXCHANGE INC.,2018-09-18,088691,CMX ,469436,97904,180367,2018
GOLD - COMMODITY EXCHANGE INC.,2018-09-25,088691,CMX ,460279,98513,182190,2018
GOLD - COMMODITY EXCHANGE INC.,2018-10-02,088691,CMX ,459776,100671,180274,2018
GOLD - COMMODITY EXCHANGE INC.,2018-10-09,088691,CMX ,465253,82218,191672,2018
GOLD - COMMODITY EXCHANGE INC.,2018-10-16,088691,CMX ,474418,95333,144715,2018
GOLD - COMMODITY EXCHANGE INC.,2018-10-23,088691,CMX ,477832,99368,137484,2018
GOLD - COMMODITY EXCHANGE INC.,2018-10-30,088691,CMX ,474941,80105,135628,2018
GOLD - COMMODITY EXCHANGE INC.,2018-11-06,088691,CMX ,494911,82188,129634,2018
GOLD - COMMODITY EXCHANGE INC.,2018-11-13,088691,CMX ,539520,79529,158723,2018
GOLD - COMMODITY EXCHANGE INC.,2018-11-20,088691,CMX ,525940,84356,136207,2018
GOLD - COMMODITY EXCHANGE INC.,2018-11-27,088691,CMX ,442801,79992,138382,2018
GOLD - COMMODITY EXCHANGE INC.,2018-12-04,088691,CMX ,399919,99414,109201,2018
GOLD - COMMODITY EXCHANGE INC.,2018-12-11,088691,CMX ,402250,89942,90008,2018
GOLD - COMMODITY EXCHANGE INC.,2018-12-18,088691,CMX ,412485,100828,89630,2018
GOLD - COMMODITY EXCHANGE INC.,2018-12-24,088691,CMX ,442727,119146,77178,2018
GOLD - COMMODITY EXCHANGE INC.,2018-12-31,088691,CMX ,451360,121205,71021,2018
GOLD - COMMODITY EXCHANGE INC.,2019-01-08,088691,CMX ,455232,112690,80219,2019
GOLD - COMMODITY EXCHANGE INC.,2019-01-15,088691,CMX ,501605,115651,90716,2019
GOLD - COMMODITY EXCHANGE INC.,2019-01-22,088691,CMX ,513509,105295,89085,2019
GOLD - COMMODITY EXCHANGE INC.,2019-01-29,088691,CMX ,483390,126404,94007,2019
GOLD - COMMODITY EXCHANGE INC.,2019-02-05,088691,CMX ,479736,134954,90079,2019
GOLD - COMMODITY EXCHANGE INC.,2019-02-12,088691,CMX ,476083,132365,89746,2019
GOLD - COMMODITY EXCHANGE INC.,2019-02-19,088691,CMX ,504639,166411,84034,2019
GOLD - COMMODITY EXCHANGE INC.,2019-02-26,088691,CMX ,501268,154217,75658,2019
GOLD - COMMODITY EXCHANGE INC.,2019-03-05,088691,CMX ,471311,125903,94656,2019
GOLD - COMMODITY EXCHANGE INC.,2019-03-12,088691,CMX ,530030,123293,105886,2019
GOLD - COMMODITY EXCHANGE INC.,2019-03-19,088691,CMX ,514163,123909,93434,2019
GOLD - COMMODITY EXCHANGE INC.,2019-03-26,088691,CMX ,509575,135373,77386,2019
GOLD - COMMODITY EXCHANGE INC.,2019-04-02,088691,CMX ,440170,110816,86198,2019
GOLD - COMMODITY EXCHANGE INC.,2019-04-09,088691,CMX ,447539,117917,80880,2019
GOLD - COMMODITY EXCHANGE INC.,2019-04-16,088691,CMX ,440581,96196,111583,2019
GOLD - COMMODITY EXCHANGE INC.,2019-04-23,088691,CMX ,440048,88989,122818,2019
GOLD - COMMODITY EXCHANGE INC.,2019-04-30,088691,CMX ,430011,95159,95083,2019
GOLD - COMMODITY EXCHANGE INC.,2019-05-07,088691,CMX ,450039,102975,93428,2019
GOLD - COMMODITY EXCHANGE INC.,2019-05-14,088691,CMX ,517995,138467,85921,2019
GOLD - COMMODITY EXCHANGE INC.,2019-05-21,088691,CMX ,508643,114986,99049,2019
GOLD - COMMODITY EXCHANGE INC.,2019-05-28,088691,CMX ,505126,119314,93040,2019
GOLD - COMMODITY EXCHANGE INC.,2019-06-04,088691,CMX ,481495,159663,63481,2019
GOLD - COMMODITY EXCHANGE INC.,2019-06-11,088691,CMX ,496663,169640,40480,2019
GOLD - COMMODITY EXCHANGE INC.,2019-06-18,088691,CMX ,525636,191766,41250,2019
GOLD - COMMODITY EXCHANGE INC.,2019-06-25,088691,CMX ,577605,204918,27177,2019
GOLD - COMMODITY EXCHANGE INC.,2019-07-02,088691,CMX ,605949,214186,20099,2019
GOLD - COMMODITY EXCHANGE INC.,2019-07-09,088691,CMX ,598977,208301,25690,2019
GOLD - COMMODITY EXCHANGE INC.,2019-07-16,088691,CMX ,601900,211322,31263,2019
GOLD - COMMODITY EXCHANGE INC.,2019-07-23,088691,CMX ,616859,208153,29980,2019
GOLD - COMMODITY EXCHANGE INC.,2019-07-30,088691,CMX ,563298,215581,29868,2019
GOLD - COMMODITY EXCHANGE INC.,2019-08-06,088691,CMX ,600317,248687,21854,2019
GOLD - COMMODITY EXCHANGE INC.,2019-08-13,088691,CMX ,593962,245631,22020,2019
GOLD - COMMODITY EXCHANGE INC.,2019-08-20,088691,CMX ,594807,249696,19850,2019
GOLD - COMMODITY EXCHANGE INC.,2019-08-27,088691,CMX ,636183,258269,31553,2019
