market,as_of,cftc_contract_market_code,cftc_market_code,open_interest_all,mm_long_all,mm_short_all,source_year
GOLD - COMMODITY EXCHANGE INC.,2021-05-25,088691,CMX ,510164,143862,36607,2021
GOLD - COMMODITY EXCHANGE INC.,2021-06-01,088691,CMX ,489198,147270,37297,2021
GOLD - COMMODITY EXCHANGE INC.,2021-06-08,088691,CMX ,491858,145037,37373,2021
GOLD - COMMODITY EXCHANGE INC.,2021-06-15,088691,CMX ,480127,138546,41754,2021
GOLD - COMMODITY EXCHANGE INC.,2021-06-22,088691,CMX ,453940,110038,47502,2021
GOLD - COMMODITY EXCHANGE INC.,2021-06-29,088691,CMX ,453360,115438,54056,2021
GOLD - COMMODITY EXCHANGE INC.,2021-07-06,088691,CMX ,465811,131218,53258,2021
GOLD - COMMODITY EXCHANGE INC.,2021-07-13,088691,CMX ,495798,135938,49647,2021
GOLD - COMMODITY EXCHANGE INC.,2021-07-20,088691,CMX ,490520,135163,44735,2021
GOLD - COMMODITY EXCHANGE INC.,2021-07-27,088691,CMX ,500187,131635,41405,2021
GOLD - COMMODITY EXCHANGE INC.,2021-08-03,088691,CMX ,485663,132920,43047,2021
GOLD - COMMODITY EXCHANGE INC.,2021-08-10,088691,CMX ,477232,111892,76489,2021
GOLD - COMMODITY EXCHANGE INC.,2021-08-17,088691,CMX ,485485,117272,58194,2021
GOLD - COMMODITY EXCHANGE INC.,2021-08-24,088691,CMX ,504735,126636,51192,2021
GOLD - COMMODITY EXCHANGE INC.,2021-08-31,088691,CMX ,507113,136555,54878,2021
GOLD - COMMODITY EXCHANGE INC.,2021-09-07,088691,CMX ,506772,129044,61449,2021
GOLD - COMMODITY EXCHANGE INC.,2021-09-14,088691,CMX ,506356,130837,59615,2021
GOLD - COMMODITY EXCHANGE INC.,2021-09-21,088691,CMX ,492765,119777,72933,2021
GOLD - COMMODITY EXCHANGE INC.,2021-09-28,088691,CMX ,490858,118923,88062,2021
GOLD - COMMODITY EXCHANGE INC.,2021-10-05,088691,CMX ,483789,126745,72579,2021
GOLD - COMMODITY EXCHANGE INC.,2021-10-12,088691,CMX ,484382,131668,73149,2021
GOLD - COMMODITY EXCHANGE INC.,2021-10-19,088691,CMX ,485974,124560,66761,2021
GOLD - COMMODITY EXCHANGE INC.,2021-10-26,088691,CMX ,509794,141280,54918,2021
GOLD - COMMODITY EXCHANGE INC.,2021-11-02,088691,CMX ,507616,136944,51705,2021
GOLD - COMMODITY EXCHANGE INC.,2021-11-09,088691,CMX ,571025,168133,42523,2021
GOLD - COMMODITY EXCHANGE INC.,2021-11-16,088691,CMX ,612612,185468,43083,2021
GOLD - COMMODITY EXCHANGE INC.,2021-11-23,088691,CMX ,559823,152273,46934,2021
GOLD - COMMODITY EXCHANGE INC.,2021-11-30,088691,CMX ,531868,137469,45384,2021
GOLD - COMMODITY EXCHANGE INC.,2021-12-07,088691,CMX ,499307,125067,44326,2021
GOLD - COMMODITY EXCHANGE INC.,2021-12-14,088691,CMX ,503709,121492,58075,2021
GOLD - COMMODITY EXCHANGE INC.,2021-12-21,088691,CMX ,500846,124120,52372,2021
GOLD - COMMODITY EXCHANGE INC.,2021-12-28,088691,CMX ,508912,130389,46726,2021
GOLD - COMMODITY EXCHANGE INC.,2022-01-04,088691,CMX ,502717,124252,44744,2022
GOLD - COMMODITY EXCHANGE INC.,2022-01-11,088691,CMX ,546516,119297,44987,2022
GOLD - COMMODITY EXCHANGE INC.,2022-01-18,088691,CMX ,539204,119807,48014,2022
GOLD - COMMODITY EXCHANGE INC.,2022-01-25,088691,CMX ,572078,140640,39265,2022
GOLD - COMMODITY EXCHANGE INC.,2022-02-01,088691,CMX ,515331,108309,58395,2022
GOLD - COMMODITY EXCHANGE INC.,2022-02-08,088691,CMX ,512842,117234,47767,2022
GOLD - COMMODITY EXCHANGE INC.,2022-02-15,088691,CMX ,558645,151530,43824,2022
GOLD - COMMODITY EXCHANGE INC.,2022-02-22,088691,CMX ,611488,183356,44380,2022
GOLD - COMMODITY EXCHANGE INC.,2022-03-01,088691,CMX ,615600,187215,38594,2022
GOLD - COMMODITY EXCHANGE INC.,2022-03-08,088691,CMX ,638502,181510,38537,2022
GOLD - COMMODITY EXCHANGE INC.,2022-03-15,088691,CMX ,617605,165597,39060,2022
GOLD - COMMODITY EXCHANGE INC.,2022-03-22,088691,CMX ,605191,152589,37457,2022
GOLD - COMMODITY EXCHANGE INC.,2022-03-29,088691,CMX ,574521,146486,38184,2022
GOLD - COMMODITY EXCHANGE INC.,2022-04-05,088691,CMX ,560666,148320,46693,2022
GOLD - COMMODITY EXCHANGE INC.,2022-04-12,088691,CMX ,577639,165244,48219,2022
GOLD - COMMODITY EXCHANGE INC.,2022-04-19,088691,CMX ,575202,157560,56294,2022
GOLD - COMMODITY EXCHANGE INC.,2022-04-26,088691,CMX ,557785,138215,57098,2022
GOLD - COMMODITY EXCHANGE INC.,2022-05-03,088691,CMX ,560441,128828,60981,2022
GOLD - COMMODITY EXCHANGE INC.,2022-05-10,088691,CMX ,571447,123931,61939,2022
GOLD - COMMODITY EXCHANGE INC.,2022-05-17,088691,CMX ,555756,115572,72212,2022
GOLD - COMMODITY EXCHANGE INC.,2022-05-24,088691,CMX ,530098,121174,60117,2022
GOLD - COMMODITY EXCHANGE INC.,2022-05-31,088691,CMX ,513722,112731,61938,2022
GOLD - COMMODITY EXCHANGE INC.,2022-06-07,088691,CMX ,494130,115215,57684,2022
GOLD - COMMODITY EXCHANGE INC.,2022-06-14,088691,CMX ,497456,109111,72206,2022
GOLD - COMMODITY EXCHANGE INC.,2022-06-21,088691,CMX ,500276,113220,63417,2022
GOLD - COMMODITY EXCHANGE INC.,2022-06-28,088691,CMX ,497005,110850,74748,2022
GOLD - COMMODITY EXCHANGE INC.,2022-07-05,088691,CMX ,498210,103472,86438,2022
GOLD - COMMODITY EXCHANGE INC.,2022-07-12,088691,CMX ,542493,91669,97802,2022
GOLD - COMMODITY EXCHANGE INC.,2022-07-19,088691,CMX ,524786,91056,109794,2022
GOLD - COMMODITY EXCHANGE INC.,2022-07-26,088691,CMX ,487515,92216,111309,2022
GOLD - COMMODITY EXCHANGE INC.,2022-08-02,088691,CMX ,459649,96634,80779,2022
GOLD - COMMODITY EXCHANGE INC.,2022-08-09,088691,CMX ,453540,100013,59279,2022
GOLD - COMMODITY EXCHANGE INC.,2022-08-16,088691,CMX ,453960,96765,60392,2022
GOLD - COMMODITY EXCHANGE INC.,2022-08-23,088691,CMX ,457762,95850,73739,2022
GOLD - COMMODITY EXCHANGE INC.,2022-08-30,088691,CMX ,459165,91761,79973,2022
GOLD - COMMODITY EXCHANGE INC.,2022-09-06,088691,CMX ,465908,85842,92804,2022
GOLD - COMMODITY EXCHANGE INC.,2022-09-13,088691,CMX ,463674,80300,98637,2022
GOLD - COMMODITY EXCHANGE INC.,2022-09-20,088691,CMX ,469395,78544,115239,2022
GOLD - COMMODITY EXCHANGE INC.,2022-09-27,088691,CMX ,457061,74171,117265,2022
GOLD - COMMODITY EXCHANGE INC.,2022-10-04,088691,CMX ,437065,82806,89681,2022
GOLD - COMMODITY EXCHANGE INC.,2022-10-11,088691,CMX ,431395,78365,83945,2022
GOLD - COMMODITY EXCHANGE INC.,2022-10-18,088691,CMX ,434701,73344,99042,2022
GOLD - COMMODITY EXCHANGE INC.,2022-10-25,088691,CMX ,456072,72016,110804,2022
GOLD - COMMODITY EXCHANGE INC.,2022-11-01,088691,CMX ,467276,78213,119614,2022
GOLD - COMMODITY EXCHANGE INC.,2022-11-08,088691,CMX ,488471,88059,104405,2022
GOLD - COMMODITY EXCHANGE INC.,2022-11-15,088691,CMX ,495171,95065,69608,2022
GOLD - COMMODITY EXCHANGE INC.,2022-11-22,088691,CMX ,449542,92161,72730,2022
GOLD - COMMODITY EXCHANGE INC.,2022-11-29,088691,CMX ,433661,88032,73312,2022
GOLD - COMMODITY EXCHANGE INC.,2022-12-06,088691,CMX ,422100,93629,70142,2022
GOLD - COMMODITY EXCHANGE INC.,2022-12-13,088691,CMX ,437040,103737,66288,2022
GOLD - COMMODITY EXCHANGE INC.,2022-12-20,088691,CMX ,436653,104813,65718,2022
GOLD - COMMODITY EXCHANGE INC.,2022-12-27,088691,CMX ,440040,106983,56106,2022
GOLD - COMMODITY EXCHANGE INC.,2023-01-03,088691,CMX ,449393,109140,54559,2023
GOLD - COMMODITY EXCHANGE INC.,2023-01-10,088691,CMX ,481519,116604,54795,2023
GOLD - COMMODITY EXCHANGE INC.,2023-01-17,088691,CMX ,491818,124222,54845,2023
GOLD - COMMODITY EXCHANGE INC.,2023-01-24,088691,CMX ,499927,131501,51622,2023
GOLD - COMMODITY EXCHANGE INC.,2023-01-31,088691,CMX ,471642,138125,53678,2023
GOLD - COMMODITY EXCHANGE INC.,2023-02-07,088691,CMX ,439755,115521,55945,2023
GOLD - COMMODITY EXCHANGE INC.,2023-02-14,088691,CMX ,426116,106106,64933,2023
GOLD - COMMODITY EXCHANGE INC.,2023-02-21,088691,CMX ,422648,104710,68004,2023
GOLD - COMMODITY EXCHANGE INC.,2023-02-28,088691,CMX ,426890,99425,72850,2023
GOLD - COMMODITY EXCHANGE INC.,2023-03-07,088691,CMX ,458474,103439,89040,2023
GOLD - COMMODITY EXCHANGE INC.,2023-03-14,088691,CMX ,459064,118560,58839,2023
GOLD - COMMODITY EXCHANGE INC.,2023-03-21,088691,CMX ,469874,125090,43861,2023
GOLD - COMMODITY EXCHANGE INC.,2023-03-28,088691,CMX ,478611,130530,31370,2023
GOLD - COMMODITY EXCHANGE INC.,2023-04-04,088691,CMX ,476592,142348,32217,2023
GOLD - COMMODITY EXCHANGE INC.,2023-04-11,088691,CMX ,476567,135015,30409,2023
GOLD - COMMODITY EXCHANGE INC.,2023-04-18,088691,CMX ,482254,137170,34474,2023
GOLD - COMMODITY EXCHANGE INC.,2023-04-25,088691,CMX ,473209,135979,33176,2023
GOLD - COMMODITY EXCHANGE INC.,2023-05-02,088691,CMX ,493804,143191,29401,2023
GOLD - COMMODITY EXCHANGE INC.,2023-05-09,088691,CMX ,518951,143463,32477,2023
GOLD - COMMODITY EXCHANGE INC.,2023-05-16,088691,CMX ,521832,139786,35803,2023
GOLD - COMMODITY EXCHANGE INC.,2023-05-23,088691,CMX ,479080,128550,35411,2023
GOLD - COMMODITY EXCHANGE INC.,2023-05-30,088691,CMX ,449515,122904,36201,2023
GOLD - COMMODITY EXCHANGE INC.,2023-06-06,088691,CMX ,436301,120985,27557,2023
GOLD - COMMODITY EXCHANGE INC.,2023-06-13,088691,CMX ,432898,110512,35869,2023
GOLD - COMMODITY EXCHANGE INC.,2023-06-20,088691,CMX ,438037,110314,34275,2023
GOLD - COMMODITY EXCHANGE INC.,2023-06-27,088691,CMX ,431861,108209,38534,2023
GOLD - COMMODITY EXCHANGE INC.,2023-07-03,088691,CMX ,448063,123017,39869,2023
GOLD - COMMODITY EXCHANGE INC.,2023-07-11,088691,CMX ,483170,124394,41951,2023
GOLD - COMMODITY EXCHANGE INC.,2023-07-18,088691,CMX ,482104,147644,32326,2023
GOLD - COMMODITY EXCHANGE INC.,2023-07-25,088691,CMX ,476176,132603,37316,2023
GOLD - COMMODITY EXCHANGE INC.,2023-08-01,088691,CMX ,439383,123802,43793,2023
GOLD - COMMODITY EXCHANGE INC.,2023-08-08,088691,CMX ,427759,114585,55979,2023
GOLD - COMMODITY EXCHANGE INC.,2023-08-15,088691,CMX ,433611,113146,83610,2023
GOLD - COMMODITY EXCHANGE INC.,2023-08-22,088691,CMX ,430239,105085,95976,2023
GOLD - COMMODITY EXCHANGE INC.,2023-08-29,088691,CMX ,442806,120609,81367,2023
GOLD - COMMODITY EXCHANGE INC.,2023-09-05,088691,CMX ,438672,120222,69857,2023
GOLD - COMMODITY EXCHANGE INC.,2023-09-12,088691,CMX ,441221,117737,83166,2023
GOLD - COMMODITY EXCHANGE INC.,2023-09-19,088691,CMX ,438078,121172,73782,2023
GOLD - COMMODITY EXCHANGE INC.,2023-09-26,088691,CMX ,435620,114668,91230,2023
GOLD - COMMODITY EXCHANGE INC.,2023-10-03,088691,CMX ,431226,100500,108061,2023
GOLD - COMMODITY EXCHANGE INC.,2023-10-10,088691,CMX ,436499,93934,120701,2023
GOLD - COMMODITY EXCHANGE INC.,2023-10-17,088691,CMX ,439581,104708,89605,2023
GOLD - COMMODITY EXCHANGE INC.,2023-10-24,088691,CMX ,463476,122456,66708,2023
GOLD - COMMODITY EXCHANGE INC.,2023-10-31,088691,CMX ,475808,140111,65271,2023
GOLD - COMMODITY EXCHANGE INC.,2023-11-07,088691,CMX ,484347,140609,62374,2023
GOLD - COMMODITY EXCHANGE INC.,2023-11-14,088691,CMX ,486634,132924,68609,2023
GOLD - COMMODITY EXCHANGE INC.,2023-11-21,088691,CMX ,508429,144381,65246,2023
GOLD - COMMODITY EXCHANGE INC.,2023-11-28,088691,CMX ,505658,169695,54802,2023
GOLD - COMMODITY EXCHANGE INC.,2023-12-05,088691,CMX ,487469,159907,50520,2023
GOLD - COMMODITY EXCHANGE INC.,2023-12-12,088691,CMX ,469939,149634,54106,2023
GOLD - COMMODITY EXCHANGE INC.,2023-12-19,088691,CMX ,481203,155697,47421,2023
GOLD - COMMODITY EXCHANGE INC.,2023-12-26,088691,CMX ,491343,152801,46347,2023
GOLD - COMMODITY EXCHANGE INC.,2024-01-02,088691,CMX ,500364,154384,45235,2024
GOLD - COMMODITY EXCHANGE INC.,2024-01-09,088691,CMX ,489849,134333,45874,2024
GOLD - COMMODITY EXCHANGE INC.,2024-01-16,088691,CMX ,489334,130931,47702,2024
GOLD - COMMODITY EXCHANGE INC.,2024-01-23,088691,CMX ,465872,111298,50265,2024
GOLD - COMMODITY EXCHANGE INC.,2024-01-30,088691,CMX ,430328,108093,52069,2024
GOLD - COMMODITY EXCHANGE INC.,2024-02-06,088691,CMX ,419121,114316,46247,2024
GOLD - COMMODITY EXCHANGE INC.,2024-02-13,088691,CMX ,420812,100642,66466,2024
GOLD - COMMODITY EXCHANGE INC.,2024-02-20,088691,CMX ,407063,98840,48917,2024
GOLD - COMMODITY EXCHANGE INC.,2024-02-27,088691,CMX ,411195,103885,47732,2024
GOLD - COMMODITY EXCHANGE INC.,2024-03-05,088691,CMX ,471616,145106,35343,2024
GOLD - COMMODITY EXCHANGE INC.,2024-03-12,088691,CMX ,516057,173994,32911,2024
GOLD - COMMODITY EXCHANGE INC.,2024-03-19,088691,CMX ,535047,172588,29692,2024
GOLD - COMMODITY EXCHANGE INC.,2024-03-26,088691,CMX ,503642,163006,27211,2024
GOLD - COMMODITY EXCHANGE INC.,2024-04-02,088691,CMX ,500045,173073,25993,2024
GOLD - COMMODITY EXCHANGE INC.,2024-04-09,088691,CMX ,505214,174617,32885,2024
GOLD - COMMODITY EXCHANGE INC.,2024-04-16,088691,CMX ,517193,169910,35174,2024
GOLD - COMMODITY EXCHANGE INC.,2024-04-23,088691,CMX ,516249,176400,34261,2024
GOLD - COMMODITY EXCHANGE INC.,2024-04-30,088691,CMX ,519791,171853,36826,2024
GOLD - COMMODITY EXCHANGE INC.,2024-05-07,088691,CMX ,529835,164780,38681,2024
GOLD - COMMODITY EXCHANGE INC.,2024-05-14,088691,CMX ,522952,171868,41433,2024
GOLD - COMMODITY EXCHANGE INC.,2024-05-21,088691,CMX ,530591,190605,42082,2024
GOLD - COMMODITY EXCHANGE INC.,2024-05-28,088691,CMX ,485430,174444,25616,2024
GOLD - COMMODITY EXCHANGE INC.,2024-06-04,088691,CMX ,447488,172560,20261,2024
GOLD - COMMODITY EXCHANGE INC.,2024-06-11,088691,CMX ,436857,168424,15459,2024
GOLD - COMMODITY EXCHANGE INC.,2024-06-18,088691,CMX ,444345,177639,17018,2024
GOLD - COMMODITY EXCHANGE INC.,2024-06-25,088691,CMX ,452190,174756,16554,2024
GOLD - COMMODITY EXCHANGE INC.,2024-07-02,088691,CMX ,454730,167688,16873,2024
GOLD - COMMODITY EXCHANGE INC.,2024-07-09,088691,CMX ,516324,181982,24515,2024
GOLD - COMMODITY EXCHANGE INC.,2024-07-16,088691,CMX ,579862,216502,31970,2024
GOLD - COMMODITY EXCHANGE INC.,2024-07-23,088691,CMX ,572306,197802,34942,2024
GOLD - COMMODITY EXCHANGE INC.,2024-07-30,088691,CMX ,510914,185586,33222,2024
GOLD - COMMODITY EXCHANGE INC.,2024-08-06,088691,CMX ,480645,180303,29517,2024
GOLD - COMMODITY EXCHANGE INC.,2024-08-13,088691,CMX ,505872,203844,25929,2024
GOLD - COMMODITY EXCHANGE INC.,2024-08-20,088691,CMX ,532867,222142,28837,2024
GOLD - COMMODITY EXCHANGE INC.,2024-08-27,088691,CMX ,521759,217976,17685,2024
GOLD - COMMODITY EXCHANGE INC.,2024-09-03,088691,CMX ,511136,212086,19996,2024
GOLD - COMMODITY EXCHANGE INC.,2024-09-10,088691,CMX ,511501,213645,23190,2024
GOLD - COMMODITY EXCHANGE INC.,2024-09-17,088691,CMX ,537627,241844,25489,2024
GOLD - COMMODITY EXCHANGE INC.,2024-09-24,088691,CMX ,564640,256435,37406,2024
GOLD - COMMODITY EXCHANGE INC.,2024-10-01,088691,CMX ,533107,247867,33405,2024
GOLD - COMMODITY EXCHANGE INC.,2024-10-08,088691,CMX ,520316,227596,33537,2024
GOLD - COMMODITY EXCHANGE INC.,2024-10-15,088691,CMX ,541232,233871,34450,2024
GOLD - COMMODITY EXCHANGE INC.,2024-10-22,088691,CMX ,573760,242427,37267,2024
GOLD - COMMODITY EXCHANGE INC.,2024-10-29,088691,CMX ,579468,234856,39683,2024
GOLD - COMMODITY EXCHANGE INC.,2024-11-05,088691,CMX ,558034,219687,36684,2024
GOLD - COMMODITY EXCHANGE INC.,2024-11-12,088691,CMX ,535981,203661,38365,2024
GOLD - COMMODITY EXCHANGE INC.,2024-11-19,088691,CMX ,502952,193355,38181,2024
GOLD - COMMODITY EXCHANGE INC.,2024-11-26,088691,CMX ,472660,203596,24306,2024
GOLD - COMMODITY EXCHANGE INC.,2024-12-03,088691,CMX ,462040,203580,22845,2024
GOLD - COMMODITY EXCHANGE INC.,2024-12-10,088691,CMX ,483346,218482,22404,2024
GOLD - COMMODITY EXCHANGE INC.,2024-12-17,088691,CMX ,466571,201880,18378,2024
GOLD - COMMODITY EXCHANGE INC.,2024-12-24,088691,CMX ,454646,186099,20602,2024
GOLD - COMMODITY EXCHANGE INC.,2024-12-31,088691,CMX ,458584,182128,15959,2024
GOLD - COMMODITY EXCHANGE INC.,2025-01-07,088691,CMX ,477043,191873,14232,2025
GOLD - COMMODITY EXCHANGE INC.,2025-01-14,088691,CMX ,526467,206968,11346,2025
GOLD - COMMODITY EXCHANGE INC.,2025-01-21,088691,CMX ,571387,226964,11095,2025
GOLD - COMMODITY EXCHANGE INC.,2025-01-28,088691,CMX ,577505,227871,17331,2025
GOLD - COMMODITY EXCHANGE INC.,2025-02-04,088691,CMX ,542004,240485,30952,2025
GOLD - COMMODITY EXCHANGE INC.,2025-02-11,088691,CMX ,528719,229071,34268,2025
GOLD - COMMODITY EXCHANGE INC.,2025-02-18,088691,CMX ,522330,222538,37209,2025
GOLD - COMMODITY EXCHANGE INC.,2025-02-25,088691,CMX ,512179,212694,32882,2025
GOLD - COMMODITY EXCHANGE INC.,2025-03-04,088691,CMX ,489270,204965,38307,2025
GOLD - COMMODITY EXCHANGE INC.,2025-03-11,088691,CMX ,511276,204907,37331,2025
GOLD - COMMODITY EXCHANGE INC.,2025-03-18,088691,CMX ,533566,220879,37045,2025
GOLD - COMMODITY EXCHANGE INC.,2025-03-25,088691,CMX ,511482,213505,38773,2025
GOLD - COMMODITY EXCHANGE INC.,2025-04-01,088691,CMX ,498746,204833,62834,2025
GOLD - COMMODITY EXCHANGE INC.,2025-04-08,088691,CMX ,445468,175393,44407,2025
GOLD - COMMODITY EXCHANGE INC.,2025-04-15,088691,CMX ,456628,168400,43546,2025
GOLD - COMMODITY EXCHANGE INC.,2025-04-22,088691,CMX ,465351,166360,45458,2025
GOLD - COMMODITY EXCHANGE INC.,2025-04-29,088691,CMX ,451868,150715,44820,2025
GOLD - COMMODITY EXCHANGE INC.,2025-05-06,088691,CMX ,452414,144383,42292,2025
GOLD - COMMODITY EXCHANGE INC.,2025-05-13,088691,CMX ,440842,144410,43183,2025
GOLD - COMMODITY EXCHANGE INC.,2025-05-20,088691,CMX ,448000,149149,41520,2025
GOLD - COMMODITY EXCHANGE INC.,2025-05-27,088691,CMX ,437538,147502,36686,2025
GOLD - COMMODITY EXCHANGE INC.,2025-06-03,088691,CMX ,415941,159966,36384,2025
GOLD - COMMODITY EXCHANGE INC.,2025-06-10,088691,CMX ,417143,160680,36589,2025
GOLD - COMMODITY EXCHANGE INC.,2025-06-17,088691,CMX ,441214,167646,37135,2025
GOLD - COMMODITY EXCHANGE INC.,2025-06-24,088691,CMX ,434958,163829,38701,2025
GOLD - COMMODITY EXCHANGE INC.,2025-07-01,088691,CMX ,437662,165086,34726,2025
GOLD - COMMODITY EXCHANGE INC.,2025-07-08,088691,CMX ,443144,164685,35743,2025
GOLD - COMMODITY EXCHANGE INC.,2025-07-15,088691,CMX ,448531,172657,35930,2025
GOLD - COMMODITY EXCHANGE INC.,2025-07-22,088691,CMX ,489423,194753,34819,2025
GOLD - COMMODITY EXCHANGE INC.,2025-07-29,088691,CMX ,445259,170918,36662,2025
GOLD - COMMODITY EXCHANGE INC.,2025-08-05,088691,CMX ,449647,186304,32317,2025
GOLD - COMMODITY EXCHANGE INC.,2025-08-12,088691,CMX ,446152,182337,34050,2025
GOLD - COMMODITY EXCHANGE INC.,2025-08-19,088691,CMX ,438541,173388,36003,2025
GOLD - COMMODITY EXCHANGE INC.,2025-08-26,088691,CMX ,443760,175494,33577,2025
GOLD - COMMODITY EXCHANGE INC.,2025-09-02,088691,CMX ,492908,196127,34625,2025
GOLD - COMMODITY EXCHANGE INC.,2025-09-09,088691,CMX ,509625,198907,35388,2025
GOLD - COMMODITY EXCHANGE INC.,2025-09-16,088691,CMX ,516221,195347,36376,2025
GOLD - COMMODITY EXCHANGE INC.,2025-09-23,088691,CMX ,528789,198826,38277,2025
GOLD - COMMODITY EXCHANGE INC.,2025-09-30,088691,CMX ,493748,184199,38972,2025
GOLD - COMMODITY EXCHANGE INC.,2025-10-07,088691,CMX ,485559,170587,40828,2025
GOLD - COMMODITY EXCHANGE INC.,2025-10-14,088691,CMX ,485788,152187,43877,2025
GOLD - COMMODITY EXCHANGE INC.,2025-10-21,088691,CMX ,472421,135503,43276,2025
GOLD - COMMODITY EXCHANGE INC.,2025-10-28,088691,CMX ,457122,138605,34446,2025
GOLD - COMMODITY EXCHANGE INC.,2025-11-04,088691,CMX ,450399,130688,30143,2025
GOLD - COMMODITY EXCHANGE INC.,2025-11-10,088691,CMX ,459997,134155,30068,2025
GOLD - COMMODITY EXCHANGE INC.,2025-11-18,088691,CMX ,471953,130222,32017,2025
GOLD - COMMODITY EXCHANGE INC.,2025-11-25,088691,CMX ,432946,136979,27670,2025
GOLD - COMMODITY EXCHANGE INC.,2025-12-02,088691,CMX ,418490,140143,19819,2025
GOLD - COMMODITY EXCHANGE INC.,2025-12-09,088691,CMX ,432569,143383,19835,2025
GOLD - COMMODITY EXCHANGE INC.,2025-12-16,088691,CMX ,471093,152873,20277,2025
GOLD - COMMODITY EXCHANGE INC.,2025-12-23,088691,CMX ,492103,160581,24311,2025
GOLD - COMMODITY EXCHANGE INC.,2025-12-30,088691,CMX ,481866,148642,22602,2025
