time,timeframe,symbol,open,high,low,close,tick_volume,spread
2018-04-03 01:00:00,H1,XAGUSD,16.56,16.588,16.547,16.584,248,
2018-04-03 02:00:00,H1,XAGUSD,16.584,16.595,16.577,16.581,150,
2018-04-03 03:00:00,H1,XAGUSD,16.581,16.603,16.577,16.586,287,
2018-04-03 04:00:00,H1,XAGUSD,16.586,16.587,16.521,16.541,554,
2018-04-03 05:00:00,H1,XAGUSD,16.546,16.565,16.536,16.551,218,
2018-04-03 06:00:00,H1,XAGUSD,16.552,16.563,16.543,16.543,72,
2018-04-03 07:00:00,H1,XAGUSD,16.543,16.555,16.529,16.555,144,
2018-04-03 08:00:00,H1,XAGUSD,16.555,16.555,16.53,16.549,269,
2018-04-03 09:00:00,H1,XAGUSD,16.546,16.588,16.544,16.578,691,
2018-04-03 10:00:00,H1,XAGUSD,16.578,16.578,16.538,16.553,643,
2018-04-03 11:00:00,H1,XAGUSD,16.558,16.558,16.528,16.538,803,
2018-04-03 12:00:00,H1,XAGUSD,16.538,16.548,16.528,16.538,428,
2018-04-03 13:00:00,H1,XAGUSD,16.536,16.557,16.524,16.53,292,
2018-04-03 14:00:00,H1,XAGUSD,16.528,16.546,16.508,16.541,331,
2018-04-03 15:00:00,H1,XAGUSD,16.544,16.606,16.529,16.534,896,
2018-04-03 16:00:00,H1,XAGUSD,16.539,16.544,16.427,16.447,1554,
2018-04-03 17:00:00,H1,XAGUSD,16.442,16.447,16.349,16.369,1386,
2018-04-03 18:00:00,H1,XAGUSD,16.368,16.412,16.368,16.391,591,
2018-04-03 19:00:00,H1,XAGUSD,16.392,16.425,16.387,16.42,551,
2018-04-03 20:00:00,H1,XAGUSD,16.425,16.435,16.392,16.392,432,
2018-04-03 21:00:00,H1,XAGUSD,16.395,16.416,16.392,16.402,328,
2018-04-03 22:00:00,H1,XAGUSD,16.402,16.405,16.38,16.405,456,
2018-04-03 23:00:00,H1,XAGUSD,16.406,16.411,16.387,16.387,41,
2018-04-04 01:00:00,H1,XAGUSD,16.401,16.429,16.39,16.414,140,
2018-04-04 02:00:00,H1,XAGUSD,16.411,16.411,16.399,16.404,75,
2018-04-04 03:00:00,H1,XAGUSD,16.407,16.415,16.384,16.409,254,
2018-04-04 04:00:00,H1,XAGUSD,16.404,16.415,16.386,16.411,237,
2018-04-04 05:00:00,H1,XAGUSD,16.411,16.431,16.408,16.431,143,
2018-04-04 06:00:00,H1,XAGUSD,16.429,16.432,16.411,16.422,96,
2018-04-04 07:00:00,H1,XAGUSD,16.422,16.448,16.422,16.438,46,
2018-04-04 08:00:00,H1,XAGUSD,16.435,16.443,16.395,16.418,250,
2018-04-04 09:00:00,H1,XAGUSD,16.413,16.422,16.403,16.422,580,
2018-04-04 10:00:00,H1,XAGUSD,16.427,16.478,16.412,16.466,824,
2018-04-04 11:00:00,H1,XAGUSD,16.467,16.508,16.445,16.478,1306,
2018-04-04 12:00:00,H1,XAGUSD,16.479,16.504,16.473,16.481,615,
2018-04-04 13:00:00,H1,XAGUSD,16.481,16.491,16.425,16.432,1021,
2018-04-04 14:00:00,H1,XAGUSD,16.43,16.521,16.43,16.518,1186,
2018-04-04 15:00:00,H1,XAGUSD,16.519,16.522,16.445,16.461,1523,
2018-04-04 16:00:00,H1,XAGUSD,16.462,16.464,16.241,16.303,1632,
2018-04-04 17:00:00,H1,XAGUSD,16.299,16.37,16.276,16.283,1680,
2018-04-04 18:00:00,H1,XAGUSD,16.288,16.3,16.253,16.27,752,
2018-04-04 19:00:00,H1,XAGUSD,16.275,16.301,16.259,16.273,818,
2018-04-04 20:00:00,H1,XAGUSD,16.274,16.301,16.256,16.296,351,
2018-04-04 21:00:00,H1,XAGUSD,16.292,16.294,16.264,16.283,479,
2018-04-04 22:00:00,H1,XAGUSD,16.283,16.303,16.276,16.298,220,
2018-04-04 23:00:00,H1,XAGUSD,16.303,16.309,16.293,16.293,92,
2018-04-05 01:00:00,H1,XAGUSD,16.297,16.344,16.237,16.316,162,
2018-04-05 02:00:00,H1,XAGUSD,16.316,16.321,16.301,16.302,76,
2018-04-05 03:00:00,H1,XAGUSD,16.301,16.317,16.262,16.286,390,
2018-04-05 04:00:00,H1,XAGUSD,16.283,16.298,16.279,16.284,102,
2018-04-05 05:00:00,H1,XAGUSD,16.281,16.3,16.281,16.295,103,
2018-04-05 06:00:00,H1,XAGUSD,16.29,16.295,16.285,16.285,84,
2018-04-05 07:00:00,H1,XAGUSD,16.285,16.291,16.25,16.269,276,
2018-04-05 08:00:00,H1,XAGUSD,16.269,16.284,16.264,16.273,111,
2018-04-05 09:00:00,H1,XAGUSD,16.273,16.276,16.238,16.253,520,
2018-04-05 10:00:00,H1,XAGUSD,16.25,16.256,16.175,16.231,753,
2018-04-05 11:00:00,H1,XAGUSD,16.236,16.261,16.211,16.217,518,
2018-04-05 12:00:00,H1,XAGUSD,16.217,16.243,16.208,16.229,261,
2018-04-05 13:00:00,H1,XAGUSD,16.234,16.29,16.234,16.274,417,
2018-04-05 14:00:00,H1,XAGUSD,16.274,16.304,16.249,16.274,406,
2018-04-05 15:00:00,H1,XAGUSD,16.279,16.294,16.208,16.21,1224,
2018-04-05 16:00:00,H1,XAGUSD,16.209,16.386,16.195,16.365,2013,
2018-04-05 17:00:00,H1,XAGUSD,16.368,16.368,16.272,16.307,1550,
2018-04-05 18:00:00,H1,XAGUSD,16.308,16.364,16.308,16.363,838,
2018-04-05 19:00:00,H1,XAGUSD,16.363,16.385,16.342,16.38,433,
2018-04-05 20:00:00,H1,XAGUSD,16.377,16.412,16.339,16.36,533,
2018-04-05 21:00:00,H1,XAGUSD,16.36,16.382,16.346,16.382,197,
2018-04-05 22:00:00,H1,XAGUSD,16.385,16.388,16.373,16.382,90,
2018-04-05 23:00:00,H1,XAGUSD,16.381,16.387,16.361,16.362,86,
2018-04-06 01:00:00,H1,XAGUSD,16.348,16.398,16.346,16.392,219,
2018-04-06 02:00:00,H1,XAGUSD,16.392,16.424,16.381,16.404,652,
2018-04-06 03:00:00,H1,XAGUSD,16.404,16.416,16.401,16.416,330,
2018-04-06 04:00:00,H1,XAGUSD,16.416,16.431,16.416,16.421,375,
2018-04-06 05:00:00,H1,XAGUSD,16.421,16.421,16.395,16.408,157,
2018-04-06 06:00:00,H1,XAGUSD,16.408,16.408,16.374,16.385,236,
2018-04-06 07:00:00,H1,XAGUSD,16.385,16.385,16.306,16.338,444,
2018-04-06 08:00:00,H1,XAGUSD,16.336,16.347,16.32,16.344,254,
2018-04-06 09:00:00,H1,XAGUSD,16.347,16.347,16.296,16.315,850,
2018-04-06 10:00:00,H1,XAGUSD,16.312,16.312,16.259,16.301,577,
2018-04-06 11:00:00,H1,XAGUSD,16.302,16.312,16.281,16.293,462,
2018-04-06 12:00:00,H1,XAGUSD,16.29,16.319,16.288,16.314,225,
2018-04-06 13:00:00,H1,XAGUSD,16.314,16.314,16.279,16.279,153,
2018-04-06 14:00:00,H1,XAGUSD,16.276,16.305,16.269,16.272,275,
2018-04-06 15:00:00,H1,XAGUSD,16.275,16.458,16.258,16.431,3289,
2018-04-06 16:00:00,H1,XAGUSD,16.429,16.484,16.385,16.421,2613,
2018-04-06 17:00:00,H1,XAGUSD,16.421,16.446,16.363,16.378,1344,
2018-04-06 18:00:00,H1,XAGUSD,16.383,16.394,16.338,16.384,715,
2018-04-06 19:00:00,H1,XAGUSD,16.379,16.391,16.334,16.369,1039,
2018-04-06 20:00:00,H1,XAGUSD,16.371,16.388,16.333,16.348,1037,
2018-04-06 21:00:00,H1,XAGUSD,16.348,16.37,16.328,16.348,626,
2018-04-06 22:00:00,H1,XAGUSD,16.35,16.368,16.35,16.354,408,
2018-04-06 23:00:00,H1,XAGUSD,16.356,16.373,16.353,16.353,76,
2018-04-09 01:00:00,H1,XAGUSD,16.381,16.418,16.376,16.405,320,
2018-04-09 02:00:00,H1,XAGUSD,16.41,16.42,16.387,16.396,309,
2018-04-09 03:00:00,H1,XAGUSD,16.395,16.405,16.385,16.4,251,
2018-04-09 04:00:00,H1,XAGUSD,16.395,16.407,16.367,16.382,383,
2018-04-09 05:00:00,H1,XAGUSD,16.384,16.422,16.382,16.422,125,
2018-04-09 06:00:00,H1,XAGUSD,16.427,16.427,16.407,16.407,169,
2018-04-09 07:00:00,H1,XAGUSD,16.403,16.42,16.403,16.412,92,
2018-04-09 08:00:00,H1,XAGUSD,16.412,16.432,16.403,16.416,177,
2018-04-09 09:00:00,H1,XAGUSD,16.415,16.424,16.395,16.411,697,
2018-04-09 10:00:00,H1,XAGUSD,16.411,16.414,16.358,16.378,936,
2018-04-09 11:00:00,H1,XAGUSD,16.378,16.39,16.313,16.356,792,
2018-04-09 12:00:00,H1,XAGUSD,16.355,16.374,16.33,16.331,399,
2018-04-09 13:00:00,H1,XAGUSD,16.33,16.345,16.323,16.337,842,
2018-04-09 14:00:00,H1,XAGUSD,16.332,16.355,16.325,16.35,549,
2018-04-09 15:00:00,H1,XAGUSD,16.352,16.423,16.344,16.411,863,
2018-04-09 16:00:00,H1,XAGUSD,16.416,16.431,16.371,16.407,1021,
2018-04-09 17:00:00,H1,XAGUSD,16.408,16.451,16.382,16.421,658,
2018-04-09 18:00:00,H1,XAGUSD,16.426,16.471,16.416,16.446,449,
2018-04-09 19:00:00,H1,XAGUSD,16.45,16.495,16.439,16.483,679,
2018-04-09 20:00:00,H1,XAGUSD,16.483,16.542,16.483,16.519,709,
2018-04-09 21:00:00,H1,XAGUSD,16.519,16.537,16.514,16.532,373,
2018-04-09 22:00:00,H1,XAGUSD,16.527,16.527,16.485,16.489,271,
2018-04-09 23:00:00,H1,XAGUSD,16.493,16.494,16.464,16.465,81,
2018-04-10 01:00:00,H1,XAGUSD,16.463,16.5,16.457,16.476,130,
2018-04-10 02:00:00,H1,XAGUSD,16.473,16.491,16.471,16.479,99,
2018-04-10 03:00:00,H1,XAGUSD,16.481,16.514,16.474,16.503,215,
2018-04-10 04:00:00,H1,XAGUSD,16.508,16.508,16.457,16.462,319,
2018-04-10 05:00:00,H1,XAGUSD,16.457,16.481,16.452,16.47,298,
2018-04-10 06:00:00,H1,XAGUSD,16.47,16.47,16.424,16.445,298,
2018-04-10 07:00:00,H1,XAGUSD,16.444,16.457,16.444,16.457,69,
2018-04-10 08:00:00,H1,XAGUSD,16.452,16.457,16.424,16.443,169,
2018-04-10 09:00:00,H1,XAGUSD,16.441,16.462,16.432,16.461,456,
2018-04-10 10:00:00,H1,XAGUSD,16.458,16.506,16.445,16.501,509,
2018-04-10 11:00:00,H1,XAGUSD,16.497,16.505,16.461,16.505,340,
2018-04-10 12:00:00,H1,XAGUSD,16.501,16.515,16.478,16.483,239,
2018-04-10 13:00:00,H1,XAGUSD,16.483,16.498,16.478,16.485,248,
2018-04-10 14:00:00,H1,XAGUSD,16.482,16.554,16.47,16.515,906,
2018-04-10 15:00:00,H1,XAGUSD,16.513,16.611,16.51,16.583,1262,
2018-04-10 16:00:00,H1,XAGUSD,16.578,16.638,16.508,16.536,1625,
2018-04-10 17:00:00,H1,XAGUSD,16.536,16.607,16.536,16.595,724,
2018-04-10 18:00:00,H1,XAGUSD,16.6,16.605,16.536,16.582,1108,
2018-04-10 19:00:00,H1,XAGUSD,16.582,16.592,16.562,16.58,573,
2018-04-10 20:00:00,H1,XAGUSD,16.581,16.603,16.556,16.561,543,
2018-04-10 21:00:00,H1,XAGUSD,16.561,16.602,16.556,16.602,350,
2018-04-10 22:00:00,H1,XAGUSD,16.6,16.603,16.57,16.57,314,
2018-04-10 23:00:00,H1,XAGUSD,16.57,16.57,16.538,16.544,58,
2018-04-11 01:00:00,H1,XAGUSD,16.548,16.577,16.476,16.574,97,
2018-04-11 02:00:00,H1,XAGUSD,16.572,16.586,16.572,16.583,128,
2018-04-11 03:00:00,H1,XAGUSD,16.583,16.599,16.572,16.587,299,
2018-04-11 04:00:00,H1,XAGUSD,16.587,16.587,16.551,16.551,205,
2018-04-11 05:00:00,H1,XAGUSD,16.546,16.562,16.541,16.544,87,
2018-04-11 06:00:00,H1,XAGUSD,16.55,16.558,16.539,16.558,100,
2018-04-11 07:00:00,H1,XAGUSD,16.554,16.563,16.548,16.558,63,
