time,timeframe,symbol,open,high,low,close,tick_volume,spread_raw_pts,spread_effective_pts,spread_imputed,spread,clock
2021-09-07 02:00:00,H1,GBPUSD,1.38355,1.38401,1.38355,1.38378,298,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 03:00:00,H1,GBPUSD,1.38378,1.38516,1.38376,1.38474,996,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 04:00:00,H1,GBPUSD,1.38474,1.3856,1.38465,1.38523,872,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 05:00:00,H1,GBPUSD,1.38523,1.38524,1.38486,1.38522,803,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 06:00:00,H1,GBPUSD,1.38522,1.38535,1.38448,1.38466,483,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 07:00:00,H1,GBPUSD,1.38466,1.38525,1.38373,1.38373,980,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 08:00:00,H1,GBPUSD,1.38373,1.38383,1.38291,1.38298,1179,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 09:00:00,H1,GBPUSD,1.38298,1.38337,1.38199,1.38306,1557,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 10:00:00,H1,GBPUSD,1.38306,1.38494,1.38261,1.38311,2699,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 11:00:00,H1,GBPUSD,1.38311,1.38321,1.38095,1.3817,2528,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 12:00:00,H1,GBPUSD,1.3817,1.3824,1.38106,1.38119,2209,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 13:00:00,H1,GBPUSD,1.38119,1.38186,1.37859,1.3792,3039,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 14:00:00,H1,GBPUSD,1.3792,1.37979,1.3767,1.3774,2703,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 15:00:00,H1,GBPUSD,1.3774,1.3787,1.37699,1.37798,2614,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 16:00:00,H1,GBPUSD,1.37798,1.37994,1.37713,1.3798,3102,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 17:00:00,H1,GBPUSD,1.3798,1.37993,1.3767,1.37836,4288,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 18:00:00,H1,GBPUSD,1.37836,1.3793,1.37737,1.37899,2248,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 19:00:00,H1,GBPUSD,1.37899,1.37924,1.37847,1.37888,1278,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 20:00:00,H1,GBPUSD,1.37888,1.37954,1.37851,1.3792,1262,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 21:00:00,H1,GBPUSD,1.3792,1.37938,1.37859,1.37868,1180,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 22:00:00,H1,GBPUSD,1.37868,1.37873,1.37782,1.37803,1813,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-07 23:00:00,H1,GBPUSD,1.37803,1.37856,1.37803,1.37821,996,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 00:00:00,H1,GBPUSD,1.37841,1.37848,1.37796,1.37845,357,19.0,19.0,False,19.0,server_clock_as_stored
2021-09-08 01:00:00,H1,GBPUSD,1.37845,1.37867,1.37826,1.37847,797,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 02:00:00,H1,GBPUSD,1.37847,1.37849,1.37778,1.37784,368,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 03:00:00,H1,GBPUSD,1.37781,1.37877,1.37745,1.37861,639,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 04:00:00,H1,GBPUSD,1.37861,1.379,1.37803,1.37833,826,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 05:00:00,H1,GBPUSD,1.37833,1.37848,1.37808,1.3784,955,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 06:00:00,H1,GBPUSD,1.3784,1.3786,1.37765,1.37788,787,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 07:00:00,H1,GBPUSD,1.3779,1.3782,1.37783,1.37788,427,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 08:00:00,H1,GBPUSD,1.37788,1.37793,1.37674,1.37688,928,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 09:00:00,H1,GBPUSD,1.37688,1.37707,1.37555,1.37609,2626,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 10:00:00,H1,GBPUSD,1.37609,1.3778,1.37585,1.37644,4145,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 11:00:00,H1,GBPUSD,1.37644,1.37645,1.37499,1.37627,3716,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 12:00:00,H1,GBPUSD,1.37627,1.37683,1.37537,1.37554,2597,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 13:00:00,H1,GBPUSD,1.3755,1.37675,1.37527,1.3764,1877,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 14:00:00,H1,GBPUSD,1.3764,1.37777,1.37593,1.37681,2471,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 15:00:00,H1,GBPUSD,1.37681,1.37761,1.37652,1.37652,2306,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 16:00:00,H1,GBPUSD,1.37652,1.3767,1.37511,1.37623,3683,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 17:00:00,H1,GBPUSD,1.37624,1.37667,1.37257,1.3737,5095,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 18:00:00,H1,GBPUSD,1.37367,1.3768,1.37342,1.37622,4113,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 19:00:00,H1,GBPUSD,1.37622,1.37828,1.37567,1.37707,2826,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 20:00:00,H1,GBPUSD,1.37707,1.37781,1.37678,1.37779,1462,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 21:00:00,H1,GBPUSD,1.37779,1.3784,1.37776,1.37802,1517,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 22:00:00,H1,GBPUSD,1.37802,1.37802,1.37735,1.37736,1100,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 23:00:00,H1,GBPUSD,1.37735,1.3776,1.37699,1.37706,987,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 00:00:00,H1,GBPUSD,1.37705,1.37732,1.37683,1.37711,318,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 01:00:00,H1,GBPUSD,1.37711,1.37736,1.37704,1.37729,408,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 02:00:00,H1,GBPUSD,1.37729,1.37729,1.37633,1.3766,298,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 03:00:00,H1,GBPUSD,1.3766,1.37667,1.37584,1.37605,793,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 04:00:00,H1,GBPUSD,1.37605,1.37647,1.37587,1.37646,1135,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 05:00:00,H1,GBPUSD,1.37646,1.37726,1.37646,1.37695,1033,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 06:00:00,H1,GBPUSD,1.37695,1.37701,1.37626,1.37628,1588,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 07:00:00,H1,GBPUSD,1.37628,1.37648,1.37529,1.37571,591,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 08:00:00,H1,GBPUSD,1.37571,1.37601,1.3755,1.37558,549,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 09:00:00,H1,GBPUSD,1.37558,1.37769,1.37556,1.37667,1815,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 10:00:00,H1,GBPUSD,1.37667,1.37928,1.37635,1.37866,3437,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 11:00:00,H1,GBPUSD,1.37866,1.38114,1.37859,1.38106,2698,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 12:00:00,H1,GBPUSD,1.38105,1.38245,1.38047,1.38176,2563,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 13:00:00,H1,GBPUSD,1.38176,1.38215,1.38094,1.38106,1612,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 14:00:00,H1,GBPUSD,1.38106,1.38372,1.38088,1.3836,3323,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 15:00:00,H1,GBPUSD,1.38359,1.38414,1.382,1.38362,4734,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 16:00:00,H1,GBPUSD,1.38362,1.3849,1.38242,1.38395,5995,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 17:00:00,H1,GBPUSD,1.38395,1.38532,1.38354,1.38435,4631,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 18:00:00,H1,GBPUSD,1.38435,1.38531,1.38377,1.38531,2990,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 19:00:00,H1,GBPUSD,1.38531,1.38588,1.38466,1.3856,1594,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 20:00:00,H1,GBPUSD,1.3856,1.3862,1.38443,1.38465,2589,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 21:00:00,H1,GBPUSD,1.38465,1.38476,1.38358,1.38375,2013,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 22:00:00,H1,GBPUSD,1.38375,1.38436,1.3835,1.38369,1613,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-09 23:00:00,H1,GBPUSD,1.38371,1.38395,1.38339,1.38367,1394,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 00:00:00,H1,GBPUSD,1.38329,1.38388,1.38312,1.38354,1895,27.0,27.0,False,27.0,server_clock_as_stored
2021-09-10 01:00:00,H1,GBPUSD,1.38354,1.38377,1.38349,1.38357,496,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 02:00:00,H1,GBPUSD,1.38357,1.38394,1.38322,1.38376,474,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 03:00:00,H1,GBPUSD,1.38376,1.38456,1.38371,1.3841,697,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 04:00:00,H1,GBPUSD,1.38412,1.38413,1.38325,1.38376,710,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 05:00:00,H1,GBPUSD,1.38376,1.38511,1.3836,1.38494,936,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 06:00:00,H1,GBPUSD,1.38494,1.38512,1.38459,1.38503,787,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 07:00:00,H1,GBPUSD,1.38503,1.38511,1.38471,1.38486,502,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 08:00:00,H1,GBPUSD,1.38486,1.3852,1.38422,1.38471,1049,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 09:00:00,H1,GBPUSD,1.38477,1.38615,1.38392,1.38595,1890,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 10:00:00,H1,GBPUSD,1.38592,1.38782,1.38559,1.38728,3244,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 11:00:00,H1,GBPUSD,1.38728,1.38845,1.38723,1.38778,3107,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 12:00:00,H1,GBPUSD,1.38778,1.38798,1.38685,1.38708,1609,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 13:00:00,H1,GBPUSD,1.38708,1.3874,1.38633,1.3873,1513,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 14:00:00,H1,GBPUSD,1.3873,1.38845,1.38703,1.38833,2445,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 15:00:00,H1,GBPUSD,1.38833,1.38879,1.38729,1.3879,2369,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 16:00:00,H1,GBPUSD,1.3879,1.38795,1.38609,1.38691,3238,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 17:00:00,H1,GBPUSD,1.38691,1.38702,1.38493,1.38549,3756,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 18:00:00,H1,GBPUSD,1.38546,1.38579,1.38411,1.3846,2929,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 19:00:00,H1,GBPUSD,1.3846,1.38589,1.3843,1.38533,1376,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 20:00:00,H1,GBPUSD,1.38532,1.38553,1.38419,1.3844,953,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 21:00:00,H1,GBPUSD,1.3844,1.38445,1.38381,1.38443,872,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 22:00:00,H1,GBPUSD,1.38443,1.38463,1.38298,1.3832,2356,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-10 23:00:00,H1,GBPUSD,1.38319,1.38348,1.38258,1.38298,1864,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 00:00:00,H1,GBPUSD,1.3832,1.3837,1.38252,1.38324,162,62.0,62.0,False,62.0,server_clock_as_stored
2021-09-13 01:00:00,H1,GBPUSD,1.38324,1.38367,1.38286,1.38344,838,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 02:00:00,H1,GBPUSD,1.38344,1.38408,1.38341,1.38381,468,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 03:00:00,H1,GBPUSD,1.38381,1.384,1.38302,1.38337,728,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 04:00:00,H1,GBPUSD,1.38338,1.3835,1.38257,1.38289,962,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 05:00:00,H1,GBPUSD,1.38289,1.38378,1.38271,1.38375,1046,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 06:00:00,H1,GBPUSD,1.38375,1.38451,1.38369,1.38394,725,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 07:00:00,H1,GBPUSD,1.38394,1.38401,1.38211,1.38252,619,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 08:00:00,H1,GBPUSD,1.38252,1.38252,1.38152,1.38221,1734,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 09:00:00,H1,GBPUSD,1.38221,1.38262,1.38038,1.38047,2789,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 10:00:00,H1,GBPUSD,1.38047,1.38182,1.37963,1.38157,2655,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 11:00:00,H1,GBPUSD,1.38157,1.38205,1.38067,1.38159,1627,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 12:00:00,H1,GBPUSD,1.38159,1.3823,1.38136,1.38227,882,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 13:00:00,H1,GBPUSD,1.38227,1.38318,1.38225,1.38265,2023,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 14:00:00,H1,GBPUSD,1.38265,1.3827,1.38138,1.38247,1908,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 15:00:00,H1,GBPUSD,1.38247,1.38408,1.38236,1.38355,2327,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 16:00:00,H1,GBPUSD,1.38355,1.38445,1.38288,1.38405,2462,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 17:00:00,H1,GBPUSD,1.38405,1.38504,1.38129,1.3848,4423,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 18:00:00,H1,GBPUSD,1.38481,1.385,1.3837,1.3843,2724,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 19:00:00,H1,GBPUSD,1.3843,1.38445,1.38348,1.38348,1408,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 20:00:00,H1,GBPUSD,1.38348,1.38362,1.38301,1.38323,1099,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 21:00:00,H1,GBPUSD,1.38323,1.38346,1.38283,1.38317,1059,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 22:00:00,H1,GBPUSD,1.38315,1.38353,1.3826,1.38348,1938,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-13 23:00:00,H1,GBPUSD,1.38348,1.38413,1.38341,1.38413,965,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 00:00:00,H1,GBPUSD,1.38378,1.38378,1.38257,1.38344,207,25.0,25.0,False,25.0,server_clock_as_stored
2021-09-14 01:00:00,H1,GBPUSD,1.38343,1.38399,1.38341,1.38377,857,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 02:00:00,H1,GBPUSD,1.38377,1.38394,1.38366,1.38366,429,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 03:00:00,H1,GBPUSD,1.38366,1.38431,1.38341,1.38394,570,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 04:00:00,H1,GBPUSD,1.38394,1.3845,1.38368,1.38398,894,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 05:00:00,H1,GBPUSD,1.38398,1.38496,1.38388,1.38485,711,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 06:00:00,H1,GBPUSD,1.38485,1.38486,1.38407,1.38448,927,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 07:00:00,H1,GBPUSD,1.38448,1.38478,1.38382,1.38391,495,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 08:00:00,H1,GBPUSD,1.38391,1.38458,1.38358,1.3836,1441,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 09:00:00,H1,GBPUSD,1.38361,1.38551,1.38288,1.38518,2787,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 10:00:00,H1,GBPUSD,1.38518,1.38818,1.38518,1.38758,3812,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 11:00:00,H1,GBPUSD,1.38758,1.38802,1.38658,1.38659,2777,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 12:00:00,H1,GBPUSD,1.38659,1.38785,1.3856,1.38617,1827,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 13:00:00,H1,GBPUSD,1.38617,1.38727,1.386,1.38678,1220,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 14:00:00,H1,GBPUSD,1.38676,1.38676,1.3852,1.38526,1690,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 15:00:00,H1,GBPUSD,1.38526,1.39058,1.38499,1.39022,5984,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 16:00:00,H1,GBPUSD,1.39022,1.39125,1.38756,1.38797,6163,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 17:00:00,H1,GBPUSD,1.38797,1.38797,1.3845,1.3849,5005,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 18:00:00,H1,GBPUSD,1.38495,1.38522,1.38388,1.38464,3072,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 19:00:00,H1,GBPUSD,1.38464,1.38564,1.38455,1.38479,1110,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 20:00:00,H1,GBPUSD,1.38479,1.38493,1.38365,1.38377,1715,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 21:00:00,H1,GBPUSD,1.38377,1.38392,1.38127,1.3813,2098,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 22:00:00,H1,GBPUSD,1.3813,1.38147,1.38028,1.38063,2028,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-14 23:00:00,H1,GBPUSD,1.38063,1.38086,1.38038,1.38047,759,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 00:00:00,H1,GBPUSD,1.38031,1.38089,1.38018,1.38064,361,38.0,38.0,False,38.0,server_clock_as_stored
2021-09-15 01:00:00,H1,GBPUSD,1.38064,1.38082,1.38029,1.38052,460,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 02:00:00,H1,GBPUSD,1.38052,1.38086,1.38038,1.38073,333,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 03:00:00,H1,GBPUSD,1.38073,1.38119,1.38025,1.38028,1129,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 04:00:00,H1,GBPUSD,1.38029,1.38089,1.37997,1.38038,687,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 05:00:00,H1,GBPUSD,1.38038,1.38038,1.37915,1.37966,1446,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 06:00:00,H1,GBPUSD,1.37966,1.38062,1.37964,1.38043,705,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 07:00:00,H1,GBPUSD,1.38043,1.38083,1.38036,1.38075,449,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 08:00:00,H1,GBPUSD,1.38075,1.38148,1.3797,1.38096,1259,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 09:00:00,H1,GBPUSD,1.38095,1.38319,1.38095,1.38275,3661,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 10:00:00,H1,GBPUSD,1.38275,1.38373,1.38232,1.38264,2975,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 11:00:00,H1,GBPUSD,1.38264,1.38422,1.3826,1.38342,2168,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 12:00:00,H1,GBPUSD,1.38342,1.38348,1.38211,1.3827,2874,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 13:00:00,H1,GBPUSD,1.3827,1.38285,1.3822,1.38251,1469,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 14:00:00,H1,GBPUSD,1.38251,1.38273,1.38143,1.38235,2396,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 15:00:00,H1,GBPUSD,1.38235,1.38324,1.38124,1.38225,3749,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 16:00:00,H1,GBPUSD,1.38225,1.38517,1.38169,1.38501,5262,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 17:00:00,H1,GBPUSD,1.385,1.3853,1.3819,1.3829,5441,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 18:00:00,H1,GBPUSD,1.3829,1.38433,1.38265,1.38348,2792,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 19:00:00,H1,GBPUSD,1.38348,1.38359,1.38264,1.38264,1116,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 20:00:00,H1,GBPUSD,1.38264,1.38369,1.38246,1.38324,879,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 21:00:00,H1,GBPUSD,1.38324,1.3837,1.38297,1.38321,874,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 22:00:00,H1,GBPUSD,1.38321,1.38458,1.38298,1.38453,1224,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-15 23:00:00,H1,GBPUSD,1.38453,1.38453,1.38401,1.38407,1148,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 00:00:00,H1,GBPUSD,1.38403,1.38407,1.38278,1.38404,244,31.0,31.0,False,31.0,server_clock_as_stored
2021-09-16 01:00:00,H1,GBPUSD,1.38404,1.38517,1.38393,1.38514,729,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 02:00:00,H1,GBPUSD,1.38514,1.38519,1.38453,1.38474,333,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 03:00:00,H1,GBPUSD,1.38472,1.38489,1.38417,1.38481,700,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 04:00:00,H1,GBPUSD,1.38481,1.38481,1.38399,1.38418,982,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 05:00:00,H1,GBPUSD,1.38418,1.3842,1.38376,1.38398,642,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 06:00:00,H1,GBPUSD,1.38398,1.38407,1.38335,1.38338,502,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 07:00:00,H1,GBPUSD,1.38338,1.38347,1.38314,1.38338,480,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 08:00:00,H1,GBPUSD,1.38338,1.38374,1.38239,1.38243,696,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 09:00:00,H1,GBPUSD,1.38243,1.38298,1.38113,1.38138,2313,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 10:00:00,H1,GBPUSD,1.38138,1.3836,1.38118,1.38218,2409,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 11:00:00,H1,GBPUSD,1.38218,1.38287,1.38117,1.38219,2111,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 12:00:00,H1,GBPUSD,1.38219,1.38239,1.38054,1.38196,2322,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-16 13:00:00,H1,GBPUSD,1.38196,1.38258,1.38103,1.38223,2179,12.0,12.0,False,12.0,server_clock_as_stored
