time,timeframe,symbol,open,high,low,close,tick_volume,spread_raw_pts,spread_effective_pts,spread_imputed,spread,clock
2021-09-07 02:00:00,H1,XAUUSD,1822.55,1824.15,1822.52,1823.48,1087,13.0,13.0,False,13.0,server_clock_as_stored
2021-09-07 03:00:00,H1,XAUUSD,1823.48,1826.2,1823.22,1825.93,3514,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 04:00:00,H1,XAUUSD,1825.96,1827.21,1825.43,1826.43,5006,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 05:00:00,H1,XAUUSD,1826.42,1827.14,1825.0,1825.99,2603,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 06:00:00,H1,XAUUSD,1826.03,1826.09,1822.56,1823.1,2523,13.0,13.0,False,13.0,server_clock_as_stored
2021-09-07 07:00:00,H1,XAUUSD,1823.1,1823.27,1821.1,1821.43,2585,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 08:00:00,H1,XAUUSD,1821.43,1821.77,1816.91,1818.27,4965,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 09:00:00,H1,XAUUSD,1818.25,1818.85,1815.59,1818.65,6791,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 10:00:00,H1,XAUUSD,1818.55,1820.54,1817.38,1817.62,5424,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 11:00:00,H1,XAUUSD,1817.62,1817.68,1813.05,1814.74,5752,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 12:00:00,H1,XAUUSD,1814.73,1814.84,1808.88,1810.4,6422,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 13:00:00,H1,XAUUSD,1810.4,1812.14,1809.57,1810.4,5977,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 14:00:00,H1,XAUUSD,1810.4,1811.23,1808.25,1810.9,5521,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 15:00:00,H1,XAUUSD,1810.87,1813.14,1808.36,1808.75,9834,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 16:00:00,H1,XAUUSD,1808.74,1815.03,1808.4,1809.7,12883,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 17:00:00,H1,XAUUSD,1809.74,1809.95,1793.14,1796.73,16602,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 18:00:00,H1,XAUUSD,1796.71,1798.42,1792.3,1797.28,11006,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 19:00:00,H1,XAUUSD,1797.3,1798.79,1794.17,1795.81,6096,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 20:00:00,H1,XAUUSD,1795.81,1797.11,1795.43,1796.42,3154,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 21:00:00,H1,XAUUSD,1796.44,1798.17,1796.05,1796.16,2822,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 22:00:00,H1,XAUUSD,1796.16,1796.92,1793.03,1793.59,2452,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-07 23:00:00,H1,XAUUSD,1793.59,1794.5,1793.27,1793.71,1332,13.0,13.0,False,13.0,server_clock_as_stored
2021-09-08 01:00:00,H1,XAUUSD,1794.05,1795.48,1794.05,1795.12,1194,12.0,12.0,False,12.0,server_clock_as_stored
2021-09-08 02:00:00,H1,XAUUSD,1795.24,1795.76,1794.61,1795.65,1047,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 03:00:00,H1,XAUUSD,1795.64,1798.67,1795.36,1798.33,2318,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 04:00:00,H1,XAUUSD,1798.39,1798.85,1796.05,1798.15,4231,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 05:00:00,H1,XAUUSD,1798.14,1801.02,1797.93,1800.34,4318,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 06:00:00,H1,XAUUSD,1800.35,1800.78,1796.98,1798.04,4743,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 07:00:00,H1,XAUUSD,1798.05,1798.35,1797.31,1798.21,1947,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 08:00:00,H1,XAUUSD,1798.1,1798.22,1796.04,1796.2,4794,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 09:00:00,H1,XAUUSD,1796.14,1797.36,1794.2,1795.66,6588,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 10:00:00,H1,XAUUSD,1795.56,1801.21,1794.97,1798.85,6898,11.0,11.0,False,11.0,server_clock_as_stored
2021-09-08 11:00:00,H1,XAUUSD,1798.86,1799.55,1797.57,1798.69,5903,11.0,11.0,False,11.0,server_clock_as_stored
