time,timeframe,symbol,open,high,low,close,tick_volume,spread
2021-09-07 20:00:00+00:00,H1,XAUUSD,1795.81,1797.11,1795.43,1796.42,3154,11
2021-09-07 21:00:00+00:00,H1,XAUUSD,1796.44,1798.17,1796.05,1796.16,2822,11
2021-09-07 22:00:00+00:00,H1,XAUUSD,1796.16,1796.92,1793.03,1793.59,2452,11
2021-09-07 23:00:00+00:00,H1,XAUUSD,1793.59,1794.5,1793.27,1793.71,1332,13
2021-09-08 01:00:00+00:00,H1,XAUUSD,1794.05,1795.48,1794.05,1795.12,1194,12
2021-09-08 02:00:00+00:00,H1,XAUUSD,1795.24,1795.76,1794.61,1795.65,1047,11
2021-09-08 03:00:00+00:00,H1,XAUUSD,1795.64,1798.67,1795.36,1798.33,2318,11
2021-09-08 04:00:00+00:00,H1,XAUUSD,1798.39,1798.85,1796.05,1798.15,4231,11
2021-09-08 05:00:00+00:00,H1,XAUUSD,1798.14,1801.02,1797.93,1800.34,4318,11
2021-09-08 06:00:00+00:00,H1,XAUUSD,1800.35,1800.78,1796.98,1798.04,4743,11
2021-09-08 07:00:00+00:00,H1,XAUUSD,1798.05,1798.35,1797.31,1798.21,1947,11
2021-09-08 08:00:00+00:00,H1,XAUUSD,1798.1,1798.22,1796.04,1796.2,4794,11
2021-09-08 09:00:00+00:00,H1,XAUUSD,1796.14,1797.36,1794.2,1795.66,6588,11
2021-09-08 10:00:00+00:00,H1,XAUUSD,1795.56,1801.21,1794.97,1798.85,6898,11
2021-09-08 11:00:00+00:00,H1,XAUUSD,1798.86,1799.55,1797.57,1798.69,5903,11
2021-09-08 12:00:00+00:00,H1,XAUUSD,1798.75,1799.12,1796.86,1796.96,3571,11
2021-09-08 13:00:00+00:00,H1,XAUUSD,1796.97,1798.3,1796.72,1797.78,2925,11
2021-09-08 14:00:00+00:00,H1,XAUUSD,1797.74,1799.89,1796.36,1796.93,4760,11
2021-09-08 15:00:00+00:00,H1,XAUUSD,1796.93,1802.1,1796.52,1796.65,8984,11
2021-09-08 16:00:00+00:00,H1,XAUUSD,1796.65,1797.83,1782.29,1788.77,15360,11
2021-09-08 17:00:00+00:00,H1,XAUUSD,1788.74,1790.47,1782.88,1788.72,15595,11
2021-09-08 18:00:00+00:00,H1,XAUUSD,1788.69,1795.08,1788.0,1791.87,11245,11
2021-09-08 19:00:00+00:00,H1,XAUUSD,1791.91,1793.17,1790.2,1790.93,5755,11
2021-09-08 20:00:00+00:00,H1,XAUUSD,1790.93,1793.11,1790.09,1792.21,4140,11
2021-09-08 21:00:00+00:00,H1,XAUUSD,1792.21,1793.41,1791.17,1791.39,2234,11
2021-09-08 22:00:00+00:00,H1,XAUUSD,1791.39,1791.5,1788.47,1788.69,1858,11
2021-09-08 23:00:00+00:00,H1,XAUUSD,1788.65,1790.07,1788.62,1789.07,1387,11
2021-09-09 01:00:00+00:00,H1,XAUUSD,1789.15,1790.59,1789.15,1789.8,1325,11
2021-09-09 02:00:00+00:00,H1,XAUUSD,1789.8,1790.88,1788.52,1790.72,2158,13
2021-09-09 03:00:00+00:00,H1,XAUUSD,1790.7,1790.72,1787.98,1789.53,3063,11
2021-09-09 04:00:00+00:00,H1,XAUUSD,1789.54,1789.92,1787.02,1788.77,6131,11
2021-09-09 05:00:00+00:00,H1,XAUUSD,1788.8,1790.15,1788.2,1789.47,4188,11
2021-09-09 06:00:00+00:00,H1,XAUUSD,1789.43,1790.48,1787.73,1788.23,2751,12
2021-09-09 07:00:00+00:00,H1,XAUUSD,1788.27,1788.45,1786.73,1788.07,1811,11
2021-09-09 08:00:00+00:00,H1,XAUUSD,1788.09,1788.66,1786.55,1787.6,4477,11
2021-09-09 09:00:00+00:00,H1,XAUUSD,1787.61,1789.35,1786.88,1788.26,6386,11
2021-09-09 10:00:00+00:00,H1,XAUUSD,1788.24,1792.85,1787.88,1792.3,6224,11
2021-09-09 11:00:00+00:00,H1,XAUUSD,1792.24,1795.34,1792.06,1794.67,4997,11
2021-09-09 12:00:00+00:00,H1,XAUUSD,1794.68,1795.73,1793.16,1794.67,3958,11
2021-09-09 13:00:00+00:00,H1,XAUUSD,1794.66,1795.65,1794.47,1794.73,3102,11
2021-09-09 14:00:00+00:00,H1,XAUUSD,1794.74,1800.87,1794.39,1798.89,7434,11
2021-09-09 15:00:00+00:00,H1,XAUUSD,1798.9,1799.97,1791.18,1791.73,12617,11
2021-09-09 16:00:00+00:00,H1,XAUUSD,1791.72,1799.17,1788.53,1790.16,15001,11
2021-09-09 17:00:00+00:00,H1,XAUUSD,1790.09,1790.42,1783.71,1789.0,13508,11
2021-09-09 18:00:00+00:00,H1,XAUUSD,1789.04,1792.78,1788.23,1792.21,9013,11
2021-09-09 19:00:00+00:00,H1,XAUUSD,1792.21,1794.26,1791.35,1793.65,5365,11
2021-09-09 20:00:00+00:00,H1,XAUUSD,1793.72,1799.11,1793.71,1796.83,8465,11
2021-09-09 21:00:00+00:00,H1,XAUUSD,1796.87,1797.08,1792.78,1794.69,3944,12
2021-09-09 22:00:00+00:00,H1,XAUUSD,1794.69,1796.23,1790.8,1796.01,5308,11
2021-09-09 23:00:00+00:00,H1,XAUUSD,1796.1,1796.4,1793.84,1794.33,1192,13
2021-09-10 01:00:00+00:00,H1,XAUUSD,1794.09,1795.53,1792.5,1795.11,1665,12
2021-09-10 02:00:00+00:00,H1,XAUUSD,1795.15,1796.14,1793.86,1794.74,2201,12
2021-09-10 03:00:00+00:00,H1,XAUUSD,1794.72,1796.14,1794.61,1795.79,2504,13
2021-09-10 04:00:00+00:00,H1,XAUUSD,1795.81,1796.95,1792.6,1794.5,5903,11
