time,timeframe,symbol,open,high,low,close,tick_volume,spread
2021-09-08 00:00:00+0000,H1,EURUSD,1.18386,1.18446,1.18377,1.1844,332,10
2021-09-08 01:00:00+0000,H1,EURUSD,1.1844,1.18449,1.1841,1.18434,790,10
2021-09-08 02:00:00+0000,H1,EURUSD,1.18434,1.18437,1.18411,1.18425,292,10
2021-09-08 03:00:00+0000,H1,EURUSD,1.18425,1.18476,1.18399,1.18474,910,10
2021-09-08 04:00:00+0000,H1,EURUSD,1.18474,1.18507,1.1845,1.18472,871,10
2021-09-08 05:00:00+0000,H1,EURUSD,1.18472,1.18476,1.1844,1.18445,599,10
2021-09-08 06:00:00+0000,H1,EURUSD,1.18445,1.18452,1.18402,1.18416,758,10
2021-09-08 07:00:00+0000,H1,EURUSD,1.18416,1.18433,1.18409,1.1843,565,10
2021-09-08 08:00:00+0000,H1,EURUSD,1.1843,1.18431,1.18348,1.18361,1042,10
2021-09-08 09:00:00+0000,H1,EURUSD,1.18361,1.18377,1.1828,1.18329,2671,10
2021-09-08 10:00:00+0000,H1,EURUSD,1.18326,1.18443,1.18299,1.183,3645,10
2021-09-08 11:00:00+0000,H1,EURUSD,1.183,1.18302,1.18157,1.1821,3853,10
2021-09-08 12:00:00+0000,H1,EURUSD,1.1821,1.18263,1.18121,1.18146,2512,10
2021-09-08 13:00:00+0000,H1,EURUSD,1.18147,1.18217,1.18116,1.18172,2063,10
2021-09-08 14:00:00+0000,H1,EURUSD,1.1817,1.18245,1.18154,1.18219,1923,10
2021-09-08 15:00:00+0000,H1,EURUSD,1.1822,1.1829,1.18206,1.18206,2628,10
2021-09-08 16:00:00+0000,H1,EURUSD,1.18206,1.1822,1.18083,1.18168,3722,10
2021-09-08 17:00:00+0000,H1,EURUSD,1.18168,1.18187,1.18015,1.18118,5626,10
2021-09-08 18:00:00+0000,H1,EURUSD,1.18116,1.18206,1.18105,1.18178,3123,10
2021-09-08 19:00:00+0000,H1,EURUSD,1.18177,1.18284,1.1815,1.18182,2156,10
2021-09-08 20:00:00+0000,H1,EURUSD,1.18182,1.18257,1.18162,1.18233,1777,10
2021-09-08 21:00:00+0000,H1,EURUSD,1.18233,1.18294,1.18233,1.18237,1480,10
2021-09-08 22:00:00+0000,H1,EURUSD,1.18237,1.18246,1.1817,1.18172,847,10
2021-09-08 23:00:00+0000,H1,EURUSD,1.18172,1.18186,1.1815,1.18153,828,10
2021-09-09 00:00:00+0000,H1,EURUSD,1.18155,1.18176,1.18126,1.18154,244,17
2021-09-09 01:00:00+0000,H1,EURUSD,1.18154,1.18195,1.18154,1.18178,292,10
2021-09-09 02:00:00+0000,H1,EURUSD,1.18178,1.18185,1.18173,1.18183,299,10
2021-09-09 03:00:00+0000,H1,EURUSD,1.18183,1.18186,1.18118,1.18136,841,10
2021-09-09 04:00:00+0000,H1,EURUSD,1.18137,1.18204,1.18131,1.18202,917,10
2021-09-09 05:00:00+0000,H1,EURUSD,1.18203,1.18247,1.18201,1.18244,849,10
2021-09-09 06:00:00+0000,H1,EURUSD,1.18244,1.18246,1.18174,1.18177,658,10
2021-09-09 07:00:00+0000,H1,EURUSD,1.18177,1.18181,1.18108,1.18137,815,10
2021-09-09 08:00:00+0000,H1,EURUSD,1.18136,1.18163,1.1811,1.18126,800,10
2021-09-09 09:00:00+0000,H1,EURUSD,1.18126,1.18238,1.18116,1.18152,2044,10
2021-09-09 10:00:00+0000,H1,EURUSD,1.18152,1.1827,1.18132,1.18217,2708,10
2021-09-09 11:00:00+0000,H1,EURUSD,1.18218,1.18356,1.18218,1.18333,2426,10
2021-09-09 12:00:00+0000,H1,EURUSD,1.18333,1.18333,1.18256,1.18322,2438,10
2021-09-09 13:00:00+0000,H1,EURUSD,1.18322,1.18352,1.18296,1.18314,1454,10
2021-09-09 14:00:00+0000,H1,EURUSD,1.18314,1.18407,1.18234,1.18396,3575,10
2021-09-09 15:00:00+0000,H1,EURUSD,1.18396,1.18408,1.18076,1.18228,5574,10
