id,window,pf,wr,dd,n,np,hard_pass
refined_atr_pack_entry20_no_atr_floor,h1_2025,1.900243,47.222222,9.573963,36,3126.341873,False
refined_atr_pack_entry20_no_atr_floor,h2_2025,3.011723,53.571429,7.54909,28,4742.476948,False
refined_htf_fib_best_gate_pass,year_2023,1.191053,37.931034,11.722498,87,1113.309721,False
refined_htf_fib_best_gate_pass,year_2024,1.122905,36.363636,8.437594,88,732.614092,False
refined_htf_fib_best_gate_pass,year_2025,1.411766,40.506329,8.845008,79,1960.471457,False
refined_htf_fib_best_gate_pass,year_2026_to_peek,0.982449,33.333333,13.537007,51,-55.732354,False
refined_htf_fib_best_gate_pass,develop_like,1.110233,35.492228,21.861861,386,2710.964916,False
refined_htf_fib_best_gate_pass,full_available,1.097466,35.469108,21.861861,437,2792.494747,False
refined_htf_fib_best_gate_pass,h2_2024,0.954764,32.5,6.854722,40,-119.710476,False
refined_htf_fib_best_gate_pass,h1_2025,1.629746,44.444444,4.089319,36,1256.487295,False
refined_htf_fib_best_gate_pass,h2_2025,1.331025,40.0,6.823807,40,749.026333,False
